NAMESPACE                NAME                                                     READY   STATUS                       RESTARTS           AGE     IP                NODE                    NOMINATED NODE   READINESS GATES
lawapp-monitoring        lawapp-legal-accuracy-check-29679840-s6d2t               0/1     Pending                      0                  13h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679225-lnj9s                         0/1     Pending                      0                  24h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679240-vn4md                         0/1     Pending                      0                  23h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679255-wjjkc                         0/1     Pending                      0                  23h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679270-lnp7q                         0/1     Pending                      0                  23h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679285-jthzr                         0/1     Pending                      0                  23h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679300-vhjmv                         0/1     Pending                      0                  22h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679315-sdvp6                         0/1     Pending                      0                  22h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679330-dqhh5                         0/1     Pending                      0                  22h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679345-s6v87                         0/1     Pending                      0                  22h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679360-q69bs                         0/1     Pending                      0                  21h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679375-6zc5r                         0/1     Pending                      0                  21h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679390-9rtmz                         0/1     Pending                      0                  21h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679405-rsv5p                         0/1     Pending                      0                  21h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679420-vd7nx                         0/1     Pending                      0                  20h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679435-6gx6k                         0/1     Pending                      0                  20h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679450-km6sm                         0/1     Pending                      0                  20h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679465-v5vwr                         0/1     Pending                      0                  20h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679480-8vpps                         0/1     Pending                      0                  19h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679495-xdrzb                         0/1     Pending                      0                  19h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679510-fd8c7                         0/1     Pending                      0                  19h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679525-8lpfb                         0/1     Pending                      0                  19h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679540-khd2p                         0/1     Pending                      0                  18h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679555-v5j5j                         0/1     Pending                      0                  18h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679570-kxggv                         0/1     Pending                      0                  18h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679585-9br5q                         0/1     Pending                      0                  18h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679600-5s9wc                         0/1     Pending                      0                  17h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679615-5zw2t                         0/1     Pending                      0                  17h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679630-9s7rg                         0/1     Pending                      0                  17h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679645-92x6w                         0/1     Pending                      0                  17h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679660-4kz8d                         0/1     Pending                      0                  16h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679675-qlm87                         0/1     Pending                      0                  16h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679690-b64cn                         0/1     Pending                      0                  16h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679705-b9pfd                         0/1     Pending                      0                  16h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679720-q5kvd                         0/1     Pending                      0                  15h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679735-xwlw4                         0/1     Pending                      0                  15h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679750-k8rkk                         0/1     Pending                      0                  15h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679765-nnkvb                         0/1     Pending                      0                  15h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679780-h57td                         0/1     Pending                      0                  14h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679795-ktkwv                         0/1     Pending                      0                  14h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679810-2sq5q                         0/1     Pending                      0                  14h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679825-hqc45                         0/1     Pending                      0                  14h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679840-fdzww                         0/1     Pending                      0                  13h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679855-scpw6                         0/1     Pending                      0                  13h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679870-l9wnj                         0/1     Pending                      0                  13h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679885-rpxxs                         0/1     Pending                      0                  13h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679900-zb4fl                         0/1     Pending                      0                  12h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679915-rbhk7                         0/1     Pending                      0                  12h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679930-gpprq                         0/1     Pending                      0                  12h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679945-7zg2w                         0/1     Pending                      0                  12h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679960-z6djt                         0/1     Pending                      0                  11h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679975-6w5wm                         0/1     Pending                      0                  11h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679990-k5fjh                         0/1     Pending                      0                  11h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680005-cwpjd                         0/1     Pending                      0                  11h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680020-trb4j                         0/1     Pending                      0                  10h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680035-4dtcr                         0/1     Pending                      0                  10h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680050-f8cl4                         0/1     Pending                      0                  10h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680065-25krf                         0/1     Pending                      0                  10h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680080-n68sr                         0/1     Pending                      0                  9h      <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680095-pfp7p                         0/1     Pending                      0                  9h      <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680110-jjszk                         0/1     Pending                      0                  9h      <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680125-wp4zt                         0/1     Pending                      0                  9h      <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680140-xpl6f                         0/1     Pending                      0                  8h      <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680155-q9bvt                         0/1     Pending                      0                  8h      <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680170-lrkqn                         0/1     Pending                      0                  8h      <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680185-h8t8s                         0/1     Pending                      0                  8h      <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680200-vs87f                         0/1     Pending                      0                  7h59m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680215-t5zxk                         0/1     Pending                      0                  7h44m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680230-qjwjr                         0/1     Pending                      0                  7h29m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680245-dd95h                         0/1     Pending                      0                  7h14m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680260-sj8wf                         0/1     Pending                      0                  6h59m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680275-rkwx5                         0/1     Pending                      0                  6h44m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680290-fk2j5                         0/1     Pending                      0                  6h29m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680305-f2wwq                         0/1     Pending                      0                  6h14m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680320-ff6fh                         0/1     Pending                      0                  5h59m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680335-f4lxf                         0/1     Pending                      0                  5h44m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680350-xfnh2                         0/1     Pending                      0                  5h29m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680365-m95r2                         0/1     Pending                      0                  5h14m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680380-zkcnm                         0/1     Pending                      0                  4h59m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680395-z9t6s                         0/1     Pending                      0                  4h44m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680410-qtcf9                         0/1     Pending                      0                  4h29m   <none>            <none>                  <none>           <none>
