NAMESPACE                NAME                                                     READY   STATUS                       RESTARTS           AGE     IP                NODE                    NOMINATED NODE   READINESS GATES
lawapp-monitoring        lawapp-smoke-test-29680515-vqp85                         0/1     Pending                      0                  3h58m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680530-f6qv2                         0/1     Pending                      0                  3h43m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680545-9qhnw                         0/1     Pending                      0                  3h28m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680560-ll9nv                         0/1     Pending                      0                  3h13m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680575-t46m6                         0/1     Pending                      0                  178m    <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680590-t2dzw                         0/1     Pending                      0                  163m    <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680605-8d9h9                         0/1     Pending                      0                  148m    <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680620-5ftl4                         0/1     Pending                      0                  133m    <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680635-xtb8s                         0/1     Pending                      0                  118m    <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680650-vvzpz                         0/1     Pending                      0                  103m    <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680665-vz7jm                         0/1     Pending                      0                  88m     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680680-x76jm                         0/1     Pending                      0                  73m     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680740-x2p6r                         0/1     Error                        5 (2m14s ago)      13m     10.244.0.99       talos-h93-b9x           <none>           <none>
lawapp-rag               lawapp-crawler-86787df7b8-2jsk8                          1/1     Running                      0                  44m     10.244.5.178      talos-138-201-202-174   <none>           <none>
lawapp-rag               lawapp-postgres-0                                        1/1     Running                      0                  4d15h   10.244.5.67       talos-138-201-202-174   <none>           <none>
lawapp-rag               lawapp-rag-ingestion-77c8c7cfbb-ltcrb                    1/1     Running                      0                  25h     10.244.5.48       talos-138-201-202-174   <none>           <none>
lawapp-rag               lawapp-rag-retrieval-67877c778b-t5jmm                    1/1     Running                      0                  25h     10.244.5.45       talos-138-201-202-174   <none>           <none>
lawapp-rag               lawapp-worker-c84989df6-gt4lg                            1/1     Running                      0                  25h     10.244.5.49       talos-138-201-202-174   <none>           <none>
lawapp-security          lawapp-citation-guard-77cbb75db9-kd7gq                   1/1     Running                      0                  25h     10.244.5.50       talos-138-201-202-174   <none>           <none>
